category,title,price_gbp,price_inr,rating,in_stock
Fiction,My Name Is Lucy Barton,41.56,4384.58,1,True
Fiction,My Mrs. Brown,24.48,2582.64,3,True
Fiction,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,3048.95,1,True
Fiction,I Am Pilgrim (Pilgrim #1),10.6,1118.3,4,True
Fiction,Eligible (The Austen Project #4),27.09,2858.0,3,True
Fiction,Eight Hundred Grapes,14.39,1518.15,4,True
Fiction,Dear Mr. Knightley,11.21,1182.66,5,True
Fiction,Cometh the Hour (The Clifton Chronicles #6),25.01,2638.56,3,True
Fiction,Balloon Animals,17.03,1796.67,3,True
Fiction,A Man Called Ove,39.72,4190.46,1,True
Fiction,The Silent Sister (Riley MacPherson #1),46.29,4883.6,5,True
Fiction,The Dinner Party,56.54,5964.97,2,True
Fiction,The Improbability of Love,59.45,6271.98,1,True
Fiction,Mothering Sunday,13.34,1407.37,2,True
Fiction,Lies and Other Acts of Love,45.14,4762.27,1,True
Fiction,Daredevils,16.34,1723.87,3,True
Fiction,11/22/63,48.48,5114.64,3,True
Fiction,The Shack,28.03,2957.17,1,True
Fiction,The High Mountains of Portugal,51.15,5396.33,1,True
Fiction,Miller's Valley,58.54,6175.97,2,True
Fiction,Hystopia: A Novel,21.96,2316.78,4,True
Fiction,The Bourne Identity (Jason Bourne #1),42.78,4513.29,4,True
Fiction,Sister Dear,40.2,4241.1,4,True
Fiction,Memoirs of a Geisha,49.67,5240.19,3,True
Fiction,Me Before You (Me Before You #1),19.02,2006.61,1,True
Fiction,Deception Point,40.32,4253.76,4,True
Fiction,The Little Paris Bookshop,24.73,2609.02,3,True
Fiction,The Firm,45.56,4806.58,3,True
Fiction,The Expatriates,44.58,4703.19,2,True
Fiction,Siddhartha,34.22,3610.21,5,True
Fiction,Last One Home (New Beginnings #1),59.98,6327.89,3,True
Fiction,Digital Fortress,58.0,6119.0,5,True
Fiction,Atlas Shrugged,26.58,2804.19,5,True
Fiction,Three-Martini Lunch,23.21,2448.66,3,True
Fiction,The Nightingale,26.26,2770.43,4,True
Fiction,The Infinities,27.41,2891.76,1,True
Fiction,The Husband's Secret,52.51,5539.81,5,True
Fiction,The Da Vinci Code (Robert Langdon #2),22.96,2422.28,2,True
Fiction,The Art of Fielding,22.1,2331.55,1,True
Fiction,Lila (Gilead #3),12.47,1315.59,3,True
Fiction,Jurassic Park (Jurassic Park #1),44.97,4744.34,1,True
Fiction,Inferno (Robert Langdon #4),41.0,4325.5,5,True
Fiction,Crazy Rich Asians (Crazy Rich Asians #1),49.13,5183.22,5,True
Fiction,Big Little Lies,22.11,2332.61,1,True
Fiction,The Course of Love,16.78,1770.29,3,True
Fiction,When I'm Gone,51.96,5481.78,3,True
Fiction,The Silent Wife,12.34,1301.87,5,True
Fiction,The Bette Davis Club,30.66,3234.63,3,True
Fiction,Kitchens of the Great Midwest,57.2,6034.6,5,True
Fiction,Bright Lines,39.07,4121.89,5,True
